1	:	2	:	30	:	1155	:	B
2	:	3	:	105	:	1155	:	H
3	:	4	:	180	:	1155	:	H
4	:	5	:	255	:	1155	:	H
5	:	6	:	330	:	1155	:	C
6	:	7	:	405	:	1155	:	I
7	:	8	:	480	:	1155	:	I
8	:	9	:	555	:	1155	:	I
9	:	10	:	630	:	1155	:	B
10	:	11	:	630	:	1080	:	J
11	:	12	:	630	:	1005	:	J
12	:	13	:	630	:	930	:	C
13	:	14	:	630	:	855	:	K
14	:	15	:	630	:	780	:	K
15	:	16	:	630	:	705	:	B
16	:	17	:	555	:	705	:	L
17	:	18	:	480	:	705	:	L
18	:	19	:	405	:	705	:	L
19	:	20	:	330	:	705	:	C
20	:	21	:	255	:	705	:	E
21	:	22	:	180	:	705	:	E
22	:	23	:	105	:	705	:	E
23	:	24	:	30	:	705	:	B
24	:	25	:	30	:	780	:	F
25	:	26	:	30	:	855	:	F
26	:	27	:	30	:	930	:	C
27	:	28	:	30	:	1005	:	G
28	:	1	:	30	:	1080	:	G
